Date,Product_ID,Category,Subcategory,Supplier_ID,Price,Cost,Units_Sold,Discount,Promotion_Type,Revenue,Profit,Year,Month,Day,DayOfWeek,WeekOfYear,Has_Promotion,Profit_Margin,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Mean_30
2023-02-11,P0001,Electronics,Smartphones,S011,477.23,365.48,9,0.0,No Promotion,4295.07,1005.75,2023,2,11,5,6,0,111.75,18.0,8.0,12.0,10.571428571428571,10.633333333333333
2023-02-12,P0001,Electronics,Smartphones,S011,477.61,377.35,6,0.0,No Promotion,2865.66,601.56,2023,2,12,6,6,0,100.25999999999999,9.0,7.0,17.0,10.714285714285714,10.533333333333333
2023-02-13,P0001,Electronics,Smartphones,S011,478.0,238.83,5,0.0,No Promotion,2390.0,1195.85,2023,2,13,0,7,0,239.17,6.0,14.0,10.0,10.571428571428571,10.166666666666666
2023-02-14,P0001,Electronics,Smartphones,S011,478.29,286.46,12,0.0,No Promotion,5739.4800000000005,2301.9600000000005,2023,2,14,1,7,0,191.83000000000004,5.0,11.0,12.0,9.285714285714286,10.0
2023-02-15,P0001,Electronics,Smartphones,S011,478.5,385.66,18,0.0,No Promotion,8613.0,1671.1199999999994,2023,2,15,2,7,0,92.83999999999997,12.0,10.0,10.0,9.428571428571429,10.0
2023-02-16,P0001,Electronics,Smartphones,S011,478.12,228.17,12,0.0,No Promotion,5737.4400000000005,2999.4,2023,2,16,3,7,0,249.95000000000002,18.0,6.0,15.0,10.571428571428571,10.266666666666667
2023-02-17,P0001,Electronics,Smartphones,S011,477.61,215.63,12,0.0,No Promotion,5731.32,3143.76,2023,2,17,4,7,0,261.98,12.0,18.0,11.0,11.428571428571429,10.166666666666666
2023-02-18,P0001,Electronics,Smartphones,S011,477.85,238.17,14,0.0,No Promotion,6689.900000000001,3355.5200000000004,2023,2,18,5,7,0,239.68000000000004,12.0,9.0,12.0,10.571428571428571,10.2
2023-02-19,P0001,Electronics,Smartphones,S011,476.68,215.49,13,0.0,No Promotion,6196.84,3395.47,2023,2,19,6,7,0,261.19,14.0,6.0,6.0,11.285714285714286,10.266666666666667
2023-02-20,P0001,Electronics,Smartphones,S011,477.74,263.31,8,0.0,No Promotion,3821.92,1715.44,2023,2,20,0,8,0,214.43,13.0,5.0,7.0,12.285714285714286,10.5
2023-02-21,P0001,Electronics,Smartphones,S011,477.82,292.26,7,0.0,No Promotion,3344.74,1298.92,2023,2,21,1,8,0,185.56,8.0,12.0,12.0,12.714285714285714,10.533333333333333
2023-02-22,P0001,Electronics,Smartphones,S011,478.23,229.88,12,0.0,No Promotion,5738.76,2980.2000000000003,2023,2,22,2,8,0,248.35000000000002,7.0,18.0,13.0,12.0,10.366666666666667
2023-02-23,P0001,Electronics,Smartphones,S011,477.11,399.63,13,0.0,No Promotion,6202.43,1007.2400000000002,2023,2,23,3,8,0,77.48000000000002,12.0,12.0,12.0,11.142857142857142,10.333333333333334
2023-02-24,P0001,Electronics,Smartphones,S011,478.02,220.82,6,0.0,No Promotion,2868.12,1543.1999999999998,2023,2,24,4,8,0,257.2,13.0,12.0,7.0,11.285714285714286,10.366666666666667
2023-02-25,P0001,Electronics,Smartphones,S011,477.26,396.78,10,0.0,No Promotion,4772.6,804.8000000000002,2023,2,25,5,8,0,80.48000000000002,6.0,14.0,12.0,10.428571428571429,10.333333333333334
2023-02-26,P0001,Electronics,Smartphones,S011,477.6,367.32,14,0.0,No Promotion,6686.400000000001,1543.9200000000005,2023,2,26,6,8,0,110.28000000000003,10.0,13.0,10.0,9.857142857142858,10.266666666666667
2023-02-27,P0001,Electronics,Smartphones,S011,477.56,248.62,17,0.0,No Promotion,8118.52,3891.98,2023,2,27,0,9,0,228.94,14.0,8.0,7.0,10.0,10.4
2023-02-28,P0001,Electronics,Smartphones,S011,478.46,341.22,11,0.0,No Promotion,5263.0599999999995,1509.6399999999994,2023,2,28,1,9,0,137.23999999999995,17.0,7.0,13.0,11.285714285714286,10.733333333333333
2023-03-01,P0001,Electronics,Smartphones,S011,477.5,234.88,11,0.0,No Promotion,5252.5,2668.82,2023,3,1,2,9,0,242.62,11.0,12.0,12.0,11.857142857142858,10.666666666666666
2023-03-02,P0001,Electronics,Smartphones,S011,477.5,384.8,10,0.0,No Promotion,4775.0,926.9999999999999,2023,3,2,3,9,0,92.69999999999999,11.0,13.0,12.0,11.714285714285714,10.633333333333333
2023-03-03,P0001,Electronics,Smartphones,S011,478.45,317.71,13,0.0,No Promotion,6219.849999999999,2089.62,2023,3,3,4,9,0,160.74,10.0,6.0,4.0,11.285714285714286,10.566666666666666
2023-03-04,P0001,Electronics,Smartphones,S011,477.9,380.37,11,0.0,No Promotion,5256.9,1072.8299999999997,2023,3,4,5,9,0,97.52999999999997,13.0,10.0,7.0,12.285714285714286,10.866666666666667
2023-03-05,P0001,Electronics,Smartphones,S011,477.11,361.93,9,0.0,No Promotion,4293.99,1036.6200000000001,2023,3,5,6,9,0,115.18,11.0,14.0,12.0,12.428571428571429,11.0
2023-03-06,P0001,Electronics,Smartphones,S011,477.69,405.83,8,0.0,No Promotion,3821.52,574.8800000000001,2023,3,6,0,10,0,71.86000000000001,9.0,17.0,8.0,11.714285714285714,10.9
2023-03-07,P0001,Electronics,Smartphones,S011,478.82,290.34,12,0.0,No Promotion,5745.84,2261.76,2023,3,7,1,10,0,188.48000000000002,8.0,11.0,7.0,10.428571428571429,10.9
2023-03-08,P0001,Electronics,Smartphones,S011,478.17,403.47,9,0.0,No Promotion,4303.53,672.3,2023,3,8,2,10,0,74.69999999999999,12.0,11.0,14.0,10.571428571428571,11.066666666666666
2023-03-09,P0001,Electronics,Smartphones,S011,478.6,228.42,9,0.0,No Promotion,4307.400000000001,2251.6200000000003,2023,3,9,3,10,0,250.18000000000004,9.0,10.0,11.0,10.285714285714286,10.9
2023-03-10,P0001,Electronics,Smartphones,S011,478.11,281.49,14,0.0,No Promotion,6693.54,2752.6800000000003,2023,3,10,4,10,0,196.62,9.0,13.0,10.0,10.142857142857142,10.833333333333334
2023-03-11,P0001,Electronics,Smartphones,S011,479.05,340.34,12,0.0,No Promotion,5748.6,1664.5200000000004,2023,3,11,5,10,0,138.71000000000004,14.0,11.0,6.0,10.285714285714286,10.966666666666667
2023-03-12,P0001,Electronics,Smartphones,S011,476.99,290.23,13,0.0,No Promotion,6200.87,2427.88,2023,3,12,6,10,0,186.76,12.0,9.0,18.0,10.428571428571429,11.166666666666666
2023-03-13,P0001,Electronics,Smartphones,S011,477.32,237.38,6,0.0,No Promotion,2863.92,1439.6399999999999,2023,3,13,0,11,0,239.94,13.0,8.0,9.0,11.0,11.0
2023-03-14,P0001,Electronics,Smartphones,S011,478.45,389.38,14,0.0,No Promotion,6698.3,1246.98,2023,3,14,1,11,0,89.07,6.0,12.0,6.0,10.714285714285714,10.9
2023-03-15,P0001,Electronics,Smartphones,S011,478.17,264.82,8,0.0,No Promotion,3825.36,1706.8000000000002,2023,3,15,2,11,0,213.35000000000002,14.0,9.0,5.0,11.0,11.166666666666666
2023-03-16,P0001,Electronics,Smartphones,S011,475.9,284.48,8,0.0,No Promotion,3807.2,1531.3599999999997,2023,3,16,3,11,0,191.41999999999996,8.0,9.0,12.0,10.857142857142858,11.266666666666667
2023-03-17,P0001,Electronics,Smartphones,S011,476.99,260.18,10,0.0,No Promotion,4769.9,2168.1,2023,3,17,4,11,0,216.81,8.0,14.0,18.0,10.714285714285714,11.133333333333333
2023-03-18,P0001,Electronics,Smartphones,S011,478.68,332.1,12,0.0,No Promotion,5744.16,1758.9599999999998,2023,3,18,5,11,0,146.57999999999998,10.0,12.0,12.0,10.142857142857142,10.866666666666667
2023-03-19,P0001,Electronics,Smartphones,S011,478.98,215.67,5,0.0,No Promotion,2394.9,1316.5500000000002,2023,3,19,6,11,0,263.31000000000006,12.0,13.0,12.0,10.142857142857142,10.866666666666667
2023-03-20,P0001,Electronics,Smartphones,S011,477.34,385.0,12,0.0,No Promotion,5728.08,1108.0799999999997,2023,3,20,0,12,0,92.33999999999997,5.0,6.0,14.0,9.0,10.633333333333333
2023-03-21,P0001,Electronics,Smartphones,S011,477.39,303.34,14,0.0,No Promotion,6683.46,2436.7000000000003,2023,3,21,1,12,0,174.05,12.0,14.0,13.0,9.857142857142858,10.566666666666666
2023-03-22,P0001,Electronics,Smartphones,S011,478.04,403.5,11,0.0,No Promotion,5258.4400000000005,819.9400000000003,2023,3,22,2,12,0,74.54000000000002,14.0,8.0,8.0,9.857142857142858,10.6
2023-03-23,P0001,Electronics,Smartphones,S011,477.02,356.16,13,18.0,PercentOff,6201.26,1571.1799999999994,2023,3,23,3,12,1,120.85999999999996,11.0,8.0,7.0,10.285714285714286,10.7
2023-03-24,P0001,Electronics,Smartphones,S011,476.89,349.63,9,0.0,No Promotion,4292.01,1145.34,2023,3,24,4,12,0,127.25999999999999,13.0,10.0,12.0,11.0,10.9
2023-03-25,P0001,Electronics,Smartphones,S011,477.2,296.66,11,0.0,No Promotion,5249.2,1985.9399999999996,2023,3,25,5,12,0,180.53999999999996,9.0,12.0,13.0,10.857142857142858,10.8
2023-03-26,P0001,Electronics,Smartphones,S011,477.46,355.61,9,0.0,No Promotion,4297.139999999999,1096.6499999999996,2023,3,26,6,12,0,121.84999999999997,11.0,5.0,6.0,10.714285714285714,10.733333333333333
2023-03-27,P0001,Electronics,Smartphones,S011,477.49,235.84,8,0.0,No Promotion,3819.92,1933.2,2023,3,27,0,13,0,241.65,9.0,12.0,10.0,11.285714285714286,10.833333333333334
2023-03-28,P0001,Electronics,Smartphones,S011,476.57,259.27,12,0.0,No Promotion,5718.84,2607.6000000000004,2023,3,28,1,13,0,217.3,8.0,14.0,14.0,10.714285714285714,10.766666666666667
2023-03-29,P0001,Electronics,Smartphones,S011,478.36,325.36,6,0.0,No Promotion,2870.16,918.0,2023,3,29,2,13,0,153.0,12.0,11.0,17.0,10.428571428571429,10.7
2023-03-30,P0001,Electronics,Smartphones,S011,476.69,282.78,15,0.0,No Promotion,7150.35,2908.6500000000005,2023,3,30,3,13,0,193.91000000000003,6.0,13.0,11.0,9.714285714285714,10.333333333333334
2023-03-31,P0001,Electronics,Smartphones,S011,478.11,368.57,12,0.0,No Promotion,5737.32,1314.4800000000002,2023,3,31,4,13,0,109.54000000000002,15.0,9.0,11.0,10.0,10.466666666666667
2023-04-01,P0001,Electronics,Smartphones,S011,471.46,343.71,12,0.0,No Promotion,5657.5199999999995,1533.0,2023,4,1,5,13,0,127.75,12.0,11.0,10.0,10.428571428571429,10.5
2023-04-02,P0001,Electronics,Smartphones,S011,475.59,305.7,8,0.0,No Promotion,3804.72,1359.12,2023,4,2,6,13,0,169.89,12.0,9.0,13.0,10.571428571428571,10.566666666666666
2023-04-03,P0001,Electronics,Smartphones,S011,477.79,308.52,6,0.0,No Promotion,2866.7400000000002,1015.6200000000002,2023,4,3,0,14,0,169.27000000000004,8.0,8.0,11.0,10.428571428571429,10.4
2023-04-04,P0001,Electronics,Smartphones,S011,477.33,233.64,8,0.0,No Promotion,3818.64,1949.52,2023,4,4,1,14,0,243.69,6.0,12.0,9.0,10.142857142857142,10.233333333333333
2023-04-05,P0001,Electronics,Smartphones,S011,479.05,398.98,6,0.0,No Promotion,2874.3,480.41999999999996,2023,4,5,2,14,0,80.07,8.0,6.0,8.0,9.571428571428571,10.2
2023-04-06,P0001,Electronics,Smartphones,S011,477.8,364.36,13,0.0,No Promotion,6211.400000000001,1474.72,2023,4,6,3,14,0,113.44,6.0,15.0,12.0,9.571428571428571,10.133333333333333
2023-04-07,P0001,Electronics,Smartphones,S011,476.5,300.18,11,0.0,No Promotion,5241.5,1939.52,2023,4,7,4,14,0,176.32,13.0,12.0,9.0,9.285714285714286,10.166666666666666
2023-04-08,P0001,Electronics,Smartphones,S011,477.75,286.85,13,0.0,No Promotion,6210.75,2481.7,2023,4,8,5,14,0,190.89999999999998,11.0,12.0,9.0,9.142857142857142,10.233333333333333
2023-04-09,P0001,Electronics,Smartphones,S011,475.55,349.86,12,0.0,No Promotion,5706.6,1508.28,2023,4,9,6,14,0,125.69,13.0,8.0,14.0,9.285714285714286,10.366666666666667
2023-04-10,P0001,Electronics,Smartphones,S011,477.08,289.79,12,0.0,No Promotion,5724.96,2247.4799999999996,2023,4,10,0,15,0,187.28999999999996,12.0,6.0,12.0,9.857142857142858,10.3
2023-04-11,P0001,Electronics,Smartphones,S011,478.24,367.97,13,0.0,No Promotion,6217.12,1433.5099999999998,2023,4,11,1,15,0,110.26999999999998,12.0,8.0,13.0,10.714285714285714,10.3
2023-04-12,P0001,Electronics,Smartphones,S011,478.01,311.54,16,0.0,No Promotion,7648.16,2663.5199999999995,2023,4,12,2,15,0,166.46999999999997,13.0,6.0,6.0,11.428571428571429,10.3
2023-04-13,P0001,Electronics,Smartphones,S011,479.21,323.88,8,0.0,No Promotion,3833.68,1242.6399999999999,2023,4,13,3,15,0,155.32999999999998,16.0,13.0,14.0,12.857142857142858,10.633333333333333
2023-04-14,P0001,Electronics,Smartphones,S011,478.66,299.68,10,0.0,No Promotion,4786.6,1789.8000000000002,2023,4,14,4,15,0,178.98000000000002,8.0,11.0,8.0,12.142857142857142,10.433333333333334
2023-04-15,P0001,Electronics,Smartphones,S011,479.9,271.8,6,0.0,No Promotion,2879.3999999999996,1248.6,2023,4,15,5,15,0,208.09999999999997,10.0,13.0,8.0,12.0,10.5
2023-04-16,P0001,Electronics,Smartphones,S011,478.06,239.28,9,0.0,No Promotion,4302.54,2149.02,2023,4,16,6,15,0,238.78,6.0,12.0,10.0,11.0,10.433333333333334
2023-04-17,P0001,Electronics,Smartphones,S011,476.44,239.52,6,0.0,No Promotion,2858.64,1421.52,2023,4,17,0,16,0,236.92,9.0,12.0,12.0,10.571428571428571,10.4
2023-04-18,P0001,Electronics,Smartphones,S011,478.97,271.93,14,0.0,No Promotion,6705.58,2898.5600000000004,2023,4,18,1,16,0,207.04000000000002,6.0,13.0,5.0,9.714285714285714,10.2
2023-04-19,P0001,Electronics,Smartphones,S011,477.95,253.64,10,0.0,No Promotion,4779.5,2243.1,2023,4,19,2,16,0,224.31,14.0,16.0,12.0,9.857142857142858,10.5
2023-04-20,P0001,Electronics,Smartphones,S011,477.62,339.2,8,0.0,No Promotion,3820.96,1107.3600000000001,2023,4,20,3,16,0,138.42000000000002,10.0,8.0,14.0,9.0,10.433333333333334
2023-04-21,P0001,Electronics,Smartphones,S011,476.25,389.65,8,0.0,No Promotion,3810.0,692.8000000000002,2023,4,21,4,16,0,86.60000000000002,8.0,10.0,11.0,9.0,10.233333333333333
2023-04-22,P0001,Electronics,Smartphones,S011,477.55,310.77,10,0.0,No Promotion,4775.5,1667.8000000000002,2023,4,22,5,16,0,166.78000000000003,8.0,6.0,13.0,8.714285714285714,10.133333333333333
2023-04-23,P0001,Electronics,Smartphones,S011,479.36,374.43,7,0.0,No Promotion,3355.52,734.51,2023,4,23,6,16,0,104.93,10.0,9.0,9.0,9.285714285714286,10.033333333333333
2023-04-24,P0001,Electronics,Smartphones,S011,476.94,229.81,12,0.0,No Promotion,5723.28,2965.56,2023,4,24,0,17,0,247.13,7.0,6.0,11.0,9.0,9.966666666666667
2023-04-25,P0001,Electronics,Smartphones,S011,477.3,404.58,7,0.0,No Promotion,3341.1,509.0400000000002,2023,4,25,1,17,0,72.72000000000003,12.0,14.0,9.0,9.857142857142858,10.0
2023-04-26,P0001,Electronics,Smartphones,S011,476.79,281.1,10,0.0,No Promotion,4767.900000000001,1956.9,2023,4,26,2,17,0,195.69,7.0,10.0,8.0,8.857142857142858,9.933333333333334
2023-04-27,P0001,Electronics,Smartphones,S011,477.71,314.15,12,0.0,No Promotion,5732.5199999999995,1962.72,2023,4,27,3,17,0,163.56,10.0,8.0,12.0,8.857142857142858,10.0
2023-04-28,P0001,Electronics,Smartphones,S011,477.73,372.52,11,0.0,No Promotion,5255.030000000001,1157.3100000000004,2023,4,28,4,17,0,105.21000000000004,12.0,8.0,6.0,9.428571428571429,10.0
2023-04-29,P0001,Electronics,Smartphones,S011,477.14,215.12,7,0.0,No Promotion,3339.98,1834.1399999999999,2023,4,29,5,17,0,262.02,11.0,10.0,15.0,9.857142857142858,10.166666666666666
2023-04-30,P0001,Electronics,Smartphones,S011,479.68,277.74,6,0.0,No Promotion,2878.08,1211.6399999999999,2023,4,30,6,17,0,201.94,7.0,7.0,12.0,9.428571428571429,9.9
2023-05-01,P0001,Electronics,Smartphones,S011,477.43,218.78,10,0.0,No Promotion,4774.3,2586.5,2023,5,1,0,18,0,258.65,6.0,12.0,12.0,9.285714285714286,9.7
2023-05-02,P0001,Electronics,Smartphones,S011,478.68,333.79,13,0.0,No Promotion,6222.84,1883.5699999999997,2023,5,2,1,18,0,144.89,10.0,7.0,8.0,9.0,9.633333333333333
2023-05-03,P0001,Electronics,Smartphones,S011,477.16,369.07,15,0.0,No Promotion,7157.400000000001,1621.3500000000004,2023,5,3,2,18,0,108.09000000000003,13.0,10.0,6.0,9.857142857142858,9.8
2023-05-04,P0001,Electronics,Smartphones,S011,478.57,286.55,8,0.0,No Promotion,3828.56,1536.1599999999999,2023,5,4,3,18,0,192.01999999999998,15.0,12.0,8.0,10.571428571428571,10.1
2023-05-05,P0001,Electronics,Smartphones,S011,477.85,379.63,8,0.0,No Promotion,3822.8,785.7600000000002,2023,5,5,4,18,0,98.22000000000003,8.0,11.0,6.0,10.0,10.1
2023-05-06,P0001,Electronics,Smartphones,S011,478.94,339.48,4,0.0,No Promotion,1915.76,557.8399999999999,2023,5,6,5,18,0,139.45999999999998,8.0,7.0,13.0,9.571428571428571,10.166666666666666
2023-05-07,P0001,Electronics,Smartphones,S011,479.02,338.38,11,0.0,No Promotion,5269.219999999999,1547.04,2023,5,7,6,18,0,140.64,4.0,6.0,11.0,9.142857142857142,9.866666666666667
2023-05-08,P0001,Electronics,Smartphones,S011,478.35,368.97,16,0.0,No Promotion,7653.6,1750.08,2023,5,8,0,19,0,109.38,11.0,10.0,13.0,9.857142857142858,9.866666666666667
2023-05-09,P0001,Electronics,Smartphones,S011,480.14,346.2,12,0.0,No Promotion,5761.68,1607.28,2023,5,9,1,19,0,133.94,16.0,13.0,12.0,10.714285714285714,9.966666666666667
2023-05-10,P0001,Electronics,Smartphones,S011,477.16,377.8,6,0.0,No Promotion,2862.96,596.1600000000001,2023,5,10,2,19,0,99.36000000000001,12.0,15.0,12.0,10.571428571428571,9.966666666666667
2023-05-11,P0001,Electronics,Smartphones,S011,478.4,233.66,13,0.0,No Promotion,6219.2,3181.62,2023,5,11,3,19,0,244.73999999999998,6.0,8.0,13.0,9.285714285714286,9.766666666666667
2023-05-12,P0001,Electronics,Smartphones,S011,477.1,323.21,8,0.0,No Promotion,3816.8,1231.1200000000003,2023,5,12,4,19,0,153.89000000000004,13.0,8.0,16.0,10.0,9.766666666666667
2023-05-13,P0001,Electronics,Smartphones,S011,478.6,290.01,6,0.0,No Promotion,2871.6000000000004,1131.5400000000002,2023,5,13,5,19,0,188.59000000000003,8.0,4.0,8.0,10.0,9.5
2023-05-14,P0001,Electronics,Smartphones,S011,478.62,295.23,10,0.0,No Promotion,4786.2,1833.8999999999999,2023,5,14,6,19,0,183.39,6.0,11.0,10.0,10.285714285714286,9.433333333333334
2023-05-15,P0001,Electronics,Smartphones,S011,478.64,240.11,10,0.0,No Promotion,4786.4,2385.2999999999997,2023,5,15,0,20,0,238.52999999999997,10.0,16.0,6.0,10.142857142857142,9.433333333333334
2023-05-16,P0001,Electronics,Smartphones,S011,478.64,230.69,6,0.0,No Promotion,2871.84,1487.6999999999998,2023,5,16,1,20,0,247.95,10.0,12.0,9.0,9.285714285714286,9.566666666666666
2023-05-17,P0001,Electronics,Smartphones,S011,478.9,370.61,12,0.0,No Promotion,5746.799999999999,1299.4799999999996,2023,5,17,2,20,0,108.28999999999996,6.0,6.0,6.0,8.428571428571429,9.466666666666667
2023-05-18,P0001,Electronics,Smartphones,S011,477.56,226.22,11,0.0,No Promotion,5253.16,2764.7400000000002,2023,5,18,3,20,0,251.34,12.0,13.0,14.0,9.285714285714286,9.666666666666666
2023-05-19,P0001,Electronics,Smartphones,S011,479.73,319.61,11,0.0,No Promotion,5277.030000000001,1761.3200000000002,2023,5,19,4,20,0,160.12,11.0,8.0,10.0,9.0,9.566666666666666
2023-05-20,P0001,Electronics,Smartphones,S011,481.58,267.46,14,0.0,No Promotion,6742.12,2997.6800000000003,2023,5,20,5,20,0,214.12,11.0,6.0,8.0,9.428571428571429,9.6
2023-05-21,P0001,Electronics,Smartphones,S011,477.26,401.42,10,0.0,No Promotion,4772.6,758.3999999999997,2023,5,21,6,20,0,75.83999999999997,14.0,10.0,8.0,10.571428571428571,9.8
2023-05-22,P0001,Electronics,Smartphones,S011,480.71,375.81,14,0.0,No Promotion,6729.94,1468.5999999999997,2023,5,22,0,21,0,104.89999999999998,10.0,10.0,10.0,10.571428571428571,9.866666666666667
2023-05-23,P0001,Electronics,Smartphones,S011,478.51,245.96,10,0.0,No Promotion,4785.1,2325.5,2023,5,23,1,21,0,232.54999999999998,14.0,6.0,7.0,11.142857142857142,10.0
2023-05-24,P0001,Electronics,Smartphones,S011,477.46,232.74,6,0.0,No Promotion,2864.7599999999998,1468.3199999999997,2023,5,24,2,21,0,244.71999999999997,10.0,12.0,12.0,11.714285714285714,10.1
2023-05-25,P0001,Electronics,Smartphones,S011,475.26,358.24,3,0.0,No Promotion,1425.78,351.05999999999995,2023,5,25,3,21,0,117.01999999999998,6.0,11.0,7.0,10.857142857142858,9.9
2023-05-26,P0001,Electronics,Smartphones,S011,477.48,270.36,10,0.0,No Promotion,4774.8,2071.2,2023,5,26,4,21,0,207.12,3.0,11.0,10.0,9.714285714285714,9.766666666666667
2023-05-27,P0001,Electronics,Smartphones,S011,477.2,382.67,17,0.0,No Promotion,8112.4,1607.0099999999995,2023,5,27,5,21,0,94.52999999999997,10.0,14.0,12.0,9.571428571428571,9.766666666666667
2023-05-28,P0001,Electronics,Smartphones,S011,476.48,325.32,13,0.0,No Promotion,6194.24,1965.0800000000004,2023,5,28,6,21,0,151.16000000000003,17.0,10.0,11.0,10.0,9.933333333333334
2023-05-29,P0001,Electronics,Smartphones,S011,477.22,216.77,12,0.0,No Promotion,5726.64,3125.4000000000005,2023,5,29,0,22,0,260.45000000000005,13.0,14.0,7.0,10.428571428571429,10.0
2023-05-30,P0001,Electronics,Smartphones,S011,477.78,298.99,10,0.0,No Promotion,4777.799999999999,1787.8999999999996,2023,5,30,1,22,0,178.78999999999996,12.0,10.0,6.0,10.142857142857142,10.166666666666666
2023-05-31,P0001,Electronics,Smartphones,S011,477.1,292.58,12,0.0,No Promotion,5725.200000000001,2214.2400000000007,2023,5,31,2,22,0,184.52000000000004,10.0,6.0,10.0,10.142857142857142,10.3
2023-06-01,P0001,Electronics,Smartphones,S011,475.93,369.03,11,0.0,No Promotion,5235.2300000000005,1175.9000000000003,2023,6,1,3,22,0,106.90000000000003,12.0,3.0,13.0,11.0,10.366666666666667
2023-06-02,P0001,Electronics,Smartphones,S011,476.33,236.14,14,0.0,No Promotion,6668.62,3362.66,2023,6,2,4,22,0,240.19,11.0,10.0,15.0,12.142857142857142,10.3
2023-06-03,P0001,Electronics,Smartphones,S011,477.02,259.51,17,0.0,No Promotion,8109.34,3697.67,2023,6,3,5,22,0,217.51,14.0,17.0,8.0,12.714285714285714,10.266666666666667
2023-06-04,P0001,Electronics,Smartphones,S011,476.63,383.45,26,36.2,FlashSale,12392.38,2422.6800000000003,2023,6,4,6,22,1,93.18,17.0,13.0,8.0,12.714285714285714,10.566666666666666
2023-06-05,P0001,Electronics,Smartphones,S011,475.01,280.86,16,0.0,No Promotion,7600.16,3106.3999999999996,2023,6,5,0,23,0,194.14999999999998,26.0,12.0,4.0,14.571428571428571,11.166666666666666
2023-06-06,P0001,Electronics,Smartphones,S011,479.82,237.73,12,0.0,No Promotion,5757.84,2905.08,2023,6,6,1,23,0,242.09,16.0,10.0,11.0,15.142857142857142,11.566666666666666
2023-06-07,P0001,Electronics,Smartphones,S011,476.37,264.64,19,0.0,No Promotion,9051.03,4022.8700000000003,2023,6,7,2,23,0,211.73000000000002,12.0,12.0,16.0,15.428571428571429,11.6
2023-06-08,P0001,Electronics,Smartphones,S011,475.49,331.55,16,0.0,No Promotion,7607.84,2303.04,2023,6,8,3,23,0,143.94,19.0,11.0,12.0,16.428571428571427,11.7
2023-06-09,P0001,Electronics,Smartphones,S011,474.51,260.59,11,0.0,No Promotion,5219.61,2353.1200000000003,2023,6,9,4,23,0,213.92000000000002,16.0,14.0,6.0,17.142857142857142,11.833333333333334
2023-06-10,P0001,Electronics,Smartphones,S011,475.96,233.04,10,0.0,No Promotion,4759.599999999999,2429.2,2023,6,10,5,23,0,242.92,11.0,17.0,13.0,16.714285714285715,12.0
2023-06-11,P0001,Electronics,Smartphones,S011,475.94,352.21,10,0.0,No Promotion,4759.4,1237.3000000000002,2023,6,11,6,23,0,123.73000000000002,10.0,26.0,8.0,15.714285714285714,11.9
2023-06-12,P0001,Electronics,Smartphones,S011,477.13,254.4,14,0.0,No Promotion,6679.82,3118.22,2023,6,12,0,24,0,222.73,10.0,16.0,6.0,13.428571428571429,11.966666666666667
